movie_name,director,year,jump_count,is_netflix,imdb_rating
Gerald’s Game,Mike Flanagan,2017,3,Yes,6.6
Get Out,Jordan Peele,2017,10,No,7.8
Ghost Ship,Steve Beck,2002,12,Yes,5.5
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,21,No,6.6
Ghostland,Pascal Laugier,2018,21,No,6.3
Girl on the Third Floor,Travis Stevens,2019,5,No,4.6
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,No,6.7
Goosebumps,Rob Letterman,2015,10,No,6.4
Gothika,Mathieu Kassovitz,2003,16,Yes,5.8
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,No,6.1
Green Room,Jeremy Saulnier,2015,1,Yes,7.2
Gremlins,Joe Dante,1984,17,No,7.2
Gretel & Hansel,Oz Perkins,2020,5,No,5.2
Guns Akimbo,Jason Lei Howden,2020,2,No,6.3
Halloween,Rob Zombie,2007,9,No,6.1
Halloween,David Gordon Green,2018,14,No,7.5
Halloween,John Carpenter,1978,13,No,7.9
Halloween H20: 20 Years Later,Steve Miner,1998,16,No,5.6
Halloween II,Rick Rosenthal,1981,8,No,6.5
Halloween II,Rob Zombie,2009,16,No,4.9
Hannibal,Ridley Scott,2001,2,No,6.8
Hannibal Rising,Peter Webber,2007,0,No,6.2
Happy Death Day,Christopher Landon,2017,8,No,6.7
Happy Death Day 2U,Christopher Landon,2019,7,No,6.5
Haunt,Scott Beck & Bryan Woods,2019,16,No,6.3
Hell Fest,Gregory Plotkin,2018,28,No,5.5
Hellboy,Guillermo del Toro,2004,6,No,6.8
Hellraiser,Clive Barker,1987,5,No,7.1
Here Alone,Rod Blackhurst,2016,2,Yes,5.6
Hereditary,Ari Aster,2018,8,No,7.3
Hidden,"Matt Duffer, Ross Duffer",2015,6,No,6.4
Hide and Seek,John Polson,2005,16,No,5.9
High Tension,Alexandre Aja,2003,8,No,6.9
Holidays,"Anthony Scott Burns,Kevin Kolsch, Nicholas McCarthy, Adam Egypt Mortimer, Ellen Reid, Gary Shore, Kevin Smith, Sarah Adina Smith, Scott Stewart, Dennis Widmyer",2016,5,Yes,5.1
Hollow Man,Paul Verhoeven,2000,9,No,5.7
Honeymoon,Leigh Janiak,2014,3,No,5.6
Horns,Alexandre Aja,2013,3,No,6.5
Horse Girl,Jeff Baena,2020,1,Yes,5.9
Hostel,Eli Roth,2005,2,No,5.9
Hostel: Part II,Eli Roth,2007,5,No,5.5
Hostel: Part III,Scott Spiegel,2011,6,Yes,4.6
Hotel Inferno,Giulio De Santi,2013,3,No,4.7
Hotel Inferno 2: The Cathedral of Pain,"Giulio De Santi, Tiziana Machella",2017,5,No,6
Hounds of Love,Ben Young,2016,0,No,6.6
Hour of the Wolf,Ingmar Bergman,1968,1,No,7.7
House,Nobuhiko Obayashi,1977,0,No,7.4
House,Steve Miner,1986,11,No,6.2
House of 1000 Corpses,Rob Zombie,2003,6,No,6
House of Wax,Jaume Collet-Serra,2005,16,No,5.3
House on Haunted Hill,William Malone,1999,14,No,5.6
Hush,Mike Flanagan,2016,7,Yes,6.6
I Am Legend,Francis Lawrence,2007,9,No,7.2
I Am Not a Serial Killer,Billy O’Brien,2016,3,No,6.2
I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,Yes,4.7
I Know What You Did Last Summer,Jim Gillespie,1997,13,Yes,5.6
Identity,James Mangold,2003,11,No,7.3
Idle Hands,Rodman Flender,1999,10,No,6.2
In The Mouth Of Madness,John Carpenter,1994,10,No,7.2
In the Tall Grass,Vincenzo Natali,2019,4,Yes,5.5
Incarnate,Brad Peyton,2016,9,No,5.1
Inland Empire,David Lynch,2006,8,No,7
Inside,"Alexandre Bustillo, Julien Maury",2007,4,No,6.9
Insidious,James Wan,2010,24,No,6.8
Insidious: Chapter 2,James Wan,2013,22,No,6.6
Insidious: Chapter 3,Leigh Whannell,2015,15,No,6.1
Insidious: The Last Key,Adam Robitel,2018,15,No,5.8
Interview With the Vampire,Neil Jordan,1994,6,No,7.6
Intruders,Adam Schindler,2015,4,No,5.7
Invasion of the Body Snatchers,Philip Kaufman,1978,4,No,7.4
It,Andy Muschietti,2017,23,No,7.4
It Chapter Two,Andy Muschietti,2019,24,No,7
It Comes at Night,Trey Edward Shults,2017,5,No,6.2
It Follows,David Robert Mitchell,2014,5,No,6.9
Jacob’s Ladder,Adrian Lyne,1990,4,No,7.5
Jaws,Steven Spielberg,1975,4,No,8.1
Jeepers Creepers,Victor Salva,2001,11,No,6.1
Jennifer’s Body,Karyn Kusama,2009,6,No,5.1
Jessabelle,Kevin Greutert,2014,9,No,5.4
Jigsaw,"Michael Spierig, Peter Spierig",2017,7,No,5.8
Joy Ride,John Dahl,2001,2,No,6.6
Julia’s Eyes,Guillem Morales,2010,7,No,6.6
Jurassic Park,Steven Spielberg,1993,9,No,8.1
Jurassic World,Colin Trevorrow,2015,5,No,7
Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,No,6.5
Kill List,Ben Wheatley,2011,1,No,6.3
Knock Knock,Eli Roth,2015,2,No,4.9
Knowing,Alex Proyas,2009,2,No,6.2
Krampus,Michael Dougherty,2015,10,No,6.2
Lake Mungo,Joel Anderson,2008,1,No,6.1
Lake Placid,Steve Miner,1999,12,No,5.6
Last Shift,Anthony DiBlasi,2014,17,No,5.7
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,No,5.2
Let Me In,Matt Reeves,2010,3,No,7.2
Let The Right One In,Tomas Alfredson,2008,2,No,8
Let Us Prey,Brian O’Malley,2014,7,No,5.6
Life,Daniel Espinosa,2017,8,No,6.8
Lights Out,David F. Sandberg,2016,19,No,6.4
Little Evil,Eli Craig,2017,7,Yes,5.8
Living Dark: The Story of Ted the Caver,David Hunt,2013,14,No,5.1
Lord of Illusions,Clive Barker,1995,15,No,6.1
Ma,Tate Taylor,2019,3,No,5.7
Maggie,Henry Hobson,2015,4,No,5.6
Malevolent,Olaf de Fleur Johannesson,2018,8,Yes,4.8
Malice,Harold Becker,1993,3,No,6.4
Mama,Andrés Muschietti,2013,13,No,6.2
Mandy,Panos Cosmatos,2018,5,No,6.9
Marrowbone,Sergio G. Sánchez,2017,5,No,6.6
Martyrs,Pascal Laugier,2008,15,No,7.1
May,Lucky McKee,2002,0,No,6.7
Mayhem,Joe Lynch,2017,2,No,6.5
Megan Is Missing,Michael Goi,2011,1,No,4.9
Midsommar,Ari Aster,2019,3,No,7.4
Mirrors,Alexandre Aja,2008,15,No,6.2
Misery,Rob Reiner,1990,3,No,7.8
Mom and Dad,Brian Taylor,2017,5,No,5.7
Morgan,Luke Scott,2016,3,No,5.9
Mother!,Darren Aronofsky,2017,7,No,6.6
Mulholland Drive,David Lynch,2001,1,No,8
My Bloody Valentine,George Mihalka,1981,11,No,6.2
My Friend Dahmer,Marc Meyers,2017,0,No,6.5
Nerve,"Henry Joost, Ariel Schulman",2016,1,No,6.7
Night of the Comet,Thom Eberhardt,1984,2,No,6.4
Nocturnal Animals,Tom Ford,2016,1,No,7.5
Noroi: The Curse,Kôji Shiraishi,2005,4,No,7
Oculus,Mike Flanagan,2013,14,No,6.5
Odd Thomas,Stephen Sommers,2013,10,No,6.9
One Hour Photo,Mark Romanek,2002,1,No,6.8
One Missed Call,Eric Valette,2008,15,No,3.9
Only Lovers Left Alive,Jim Jarmusch,2013,0,Yes,7.3
Orphan,Jaume Collet-Serra,2009,12,No,7
Ouija,Stiles White,2014,16,No,4.4
Ouija: Origin of Evil,Mike Flanagan,2016,18,No,6.1
Overlord,Julius Avery,2018,12,No,6.7
P2,Franck Khalfoun,2007,16,No,5.9
Pan’s Labyrinth,Guillermo del Toro,2006,6,No,8.2
Pandorum,Christian Alvart,2009,13,Yes,6.8
Paranormal Activity,Oren Peli,2007,10,No,6.3
Paranormal Activity 2,Tod Williams,2010,14,No,5.7
Paranormal Activity 3,"Henry Joost, Ariel Schulman",2011,20,No,5.9
Paranormal Activity 4,"Ariel Schulman, Henry Joost",2012,21,No,4.6
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015,29,No,4.6
Patient Zero,Stefan Ruzowitzky,2018,6,No,4.3
Pay The Ghost,Uli Edel,2015,13,No,5.2
Perfect,Eddie Alcazar,2018,0,No,5.6
Personal Shopper,Olivier Assayas,2016,4,No,6.2
Pet,Carles Torrens,2016,2,No,5.7
Pet Sematary,"Kevin Kölsch, Dennis Widmyer",2019,14,No,6.4
Pet Sematary,Mary Lambert,1989,13,No,6.6
Phantasm,Don Coscarelli,1979,14,No,6.8
Planet Terror,Robert Rodriguez,2007,14,No,7.2
Poltergeist,Tobe Hooper,1982,9,Yes,7.4
Poltergeist – Extended Cut,Gil Kenan,2015,22,No,5
Poltergeist – Theatrical Cut,Gil Kenan,2015,21,No,5
Pontypool,Bruce McDonald,2008,1,No,6.7
Predator,John McTiernan,1987,7,No,7.8
Prevenge,Alice Lowe,2016,0,No,6.1
Pride and Prejudice and Zombies,Burr Steers,2016,7,No,5.8
Prince of Darkness,John Carpenter,1987,7,No,6.7
Prometheus,Ridley Scott,2012,7,No,7
Psycho,Alfred Hitchcock,1960,2,No,8.6
Quarantine,John Erick Dowdle,2008,14,No,6
Ravenous,Antonia Bird,1999,4,No,7.1
Raw,Julia Ducournau,2016,3,Yes,7.1
Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett",2019,10,No,6.9
Re-Animator,Stuart Gordon,1985,4,No,7.3
Red Dragon,Brett Ratner,2002,6,No,7.2
Regression,Alejandro Amenábar,2015,3,No,5.7
Repulsion,Roman Polanski,1965,7,No,7.8
Resident Evil,Paul W.S. Anderson,2002,7,No,6.7
Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,29,No,5.6
Resolution,"Justin Benson, Aaron Moorhead",2012,2,No,6.2
Restoration,Zack Ward,2016,10,No,4
Ring,Hideo Nakata,1998,5,No,7.3
Rings,F. Javier Gutiérrez,2017,19,No,4.5
Ringu 0: Birthday,Norio Tsuruta,2000,0,No,6
Ringu 2,Hideo Nakata,1999,1,No,5.9
Ringu: Kanzenban,Chisui Takigawa,1995,2,No,6.3
Rosemary’s Baby,Roman Polanski,1968,0,No,8
Sadako,Hideo Nakata,2019,3,No,4.1
Sadako 3D,Tsutomu Hanabusa,2012,15,No,3.8
Sadako 3D 2,Tsutomu Hanabusa,2013,15,No,4.4
Saw,James Wan,2004,5,No,7.7
Saw II,Darren Lynn Bousman,2005,5,No,6.6
Saw III,Darren Lynn Bousman,2006,5,No,6.2
Saw IV,Darren Lynn Bousman,2007,6,No,5.9
Saw V,David Hackl,2008,5,No,5.8
Saw VI,Kevin Greutert,2009,2,No,6
Scary Movie,Keenen Ivory Wayans,2000,8,No,6.2
Scary Movie 2,Keenen Ivory Wayans,2001,8,Yes,5.3
Scary Stories to Tell in the Dark,André Øvredal,2019,8,No,6.2
Scream,Wes Craven,1996,19,No,7.2
Scream 2,Wes Craven,1997,19,No,6.1
Scream 3,Wes Craven,2000,23,No,5.5
Scream 4,Wes Craven,2011,18,Yes,6.2
Searching,Aneesh Chaganty,2018,0,No,7.7
Secret Window,David Koepp,2004,10,No,6.6
Session 9,Brad Anderson,2001,0,No,6.5
Seven,David Fincher,1995,1,No,8.6
Seven in Heaven,Chris Eigeman,2018,8,Yes,5.3
Shadow People,Matthew Arnold,2013,10,No,5.3
Shaun of the Dead,Edgar Wright,2004,13,No,8
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,11,Yes,7.1
Shutter Island,Martin Scorsese,2010,9,No,8.1
Signs,M. Night Shyamalan,2002,8,No,6.7
Silent Hill,Christophe Gans,2006,7,No,6.6
Silent Hill: Revelation,Michael J. Bassett,2012,22,No,5
Silver Bullet,Dan Attias,1985,15,No,6.4
Sinister,Scott Derrickson,2012,17,No,6.8
Sinister 2,Ciarán Foy,2015,19,No,5.2
Skinwalker Ranch,Devin McGinn,2013,5,No,5.1
Sleepaway Camp,Robert Hiltzik,1983,6,No,6.3
Sleepy Hollow,Tim Burton,1999,1,No,7.4
Slender Man,Sylvain White,2018,15,No,3.1
Slither,James Gunn,2006,10,No,6.5
Slumber,Jonathan Hopkins,2017,12,No,4.9
Species,Roger Donaldson,1995,7,No,5.8
Sphere,Barry Levinson,1998,4,Yes,6
Spiral,George Iida,1998,1,No,5.2
Splinter,Toby Wilkins,2008,10,No,6.1
Split,M. Night Shyamalan,2016,3,No,7.3
Spring,"Justin Benson, Aaron Moorhead",2014,1,No,6.6
Stake Land,Jim Mickle,2010,1,No,6.5
Starfish,A.T. White,2018,4,No,5.3
Starry Eyes,"Kevin Kolsch, Dennis Widmyer",2014,9,No,6
Stephanie,Akiva Goldsman,2017,18,Yes,5.8
Stir of Echoes,David Koepp,1999,9,No,7
Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018,19,No,6.7
Sunshine,Danny Boyle,2007,6,No,7.3
Super 8,J.J. Abrams,2011,15,No,7.1
Suspiria,Dario Argento,1977,6,No,7.5
Suspiria,Luca Guadagnino,2018,2,No,7.1
Sweetheart,Justin Dillard,2019,6,No,5.7
Tales of Halloween,"Neil Marshall, Darren Lynn Bousman, Axelle Carolyn, Lucky McKee, Andrew Kasch, Paul Solet, John Skipp, Adam Gierasch, Jace Anderson, Mike Mendez, Ryan Schifrin, Dave Parker",2015,14,Yes,5.4
Terrifier,Damien Leone,2017,18,Yes,5.7
Texas Chainsaw 3D,John Luessenhop,2013,14,No,4.8
The 9th Life of Louis Drax,Alexandre Aja,2016,4,No,6.3
The Abandoned,Eytan Rockaway,2015,21,No,5
The ABCs of Death,27 different directors,2012,0,No,4.7
The Abyss,James Cameron,1989,2,No,7.6
